Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event typetipo de decaimento
46.3456480574, 0.501638111916, 0.0108238450198, 0.0783370890373, 3.14159265359, 86.3807063179, 6.38910781486, 0.444916150967, 0.0696366634998, 22.135945737, 0.211743811585, 0.00956560944361, -2473.51418224, -43.0201836055, -30.0637234562, 4, 3
11.1657598156, 0.385932823979, 0.0345639553736, 0.103974514658, 3.14159265359, 258.08243311, 0.879447775208, 0.0226248920037, 0.0257262484954, 3.7642757647, 0.30937165698, 0.0821862361631, -1744.69642823, 4.46488688006, -73.0678842429, 4, 3
106.068810008, 2.01675151913, 0.0190136150201, 0.0348192244918, 3.14159265359, 102.964954291, 20.808222143, 0.556150417753, 0.0267274356228, 19.7460707851, 0.593963045088, 0.0300800625883, -2443.52954679, -4.44945201029, 13.0444174988, 4, 3
18.2586617828, 0.746093018548, 0.0408624151882, 0.00489908032863, 3.14159263252, 258.176857145, 5.37756647797, 0.128306526014, 0.0238595890055, 9.71142276624, 0.24748762011, 0.0254841773515, 2383.54789052, -128.715899034, 45.2959956295, 4, 3
55.6699689405, 1.55013891754, 0.0278451550636, 0.0184736522236, 3.14159265359, 103.023975705, 6.3954489838, 0.037450176785, 0.00585575412764, 18.6266516816, 0.410318137577, 0.0220285505195, -2473.21154159, -8.64841002492, 28.2537284294, 4, 3
36.4077291481, 0.465978235746, 0.0127988821783, 0.0674670337324, 3.14159265359, 143.928153529, 26.8553810409, 0.233912090537, 0.00871006410895, 4.06175876044, 0.246181186295, 0.0606095046048, -329.341276727, 79.7843315067, -101.352162705, 4, 3
47.0891647566, 1.59198146356, 0.0338078084798, 0.0396487541468, 3.14159265359, 173.421570883, 29.4198886293, 0.716251759948, 0.0243458351925, 11.1635752973, 0.704716808047, 0.0631264437494, -2475.01568071, 13.9578209451, -6.52671400493, 4, 3
35.1278023058, 1.96028687819, 0.0558044269642, 0.0255391559023, 3.14159265359, 258.004688294, 21.7531819232, 1.52057233109, 0.0699011453338, 9.24072766961, 0.455210156792, 0.049261289053, -1951.64817795, 15.1406555979, 38.3306330963, 4, 3
19.2804591527, 0.380262203794, 0.0197226736553, 0.0840418903915, 3.14159263869, 96.5206732059, 3.79068453517, 0.199380421583, 0.0525974714419, 6.49400236973, 0.204785434501, 0.0315345487792, -2477.52877822, -30.298503571, 0.813422372704, 4, 3
18.0734335247, 0.758986074104, 0.0419945702662, 0.0394168775672, 3.14159265359, 183.865910932, 11.4770881613, 0.657042473924, 0.0572481856628, 1.87461697298, 0.109991073253, 0.0586738917009, -2472.90479954, -16.0994485916, -12.6791571778, 4, 3
