Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event type
17.9330187472, 0.485366413067, 0.0270655164036, 0.10805581226, 3.14159263869, 139.446854988, 8.07401028143, 0.313731309442, 0.0388569370742, 9.97017921549, 0.726716535778, 0.0728890143368, -2219.00124775, 8.5614042082, -2.5265943193, 1
16.2112261213, 0.484991909067, 0.0299170405395, 0.0537035060478, 3.14159265359, 200.514821869, 7.69514012458, 0.435973773876, 0.0566557290469, 8.52849716622, 0.108798083649, 0.0127570053116, -1906.64831667, 5.90407644797, -41.0269456302, 1
5.27414971952, 0.0123419470043, 0.00234008279261, 0.18945813606, 3.14159265359, 120.097233687, 1.68059771599, 0.237865735443, 0.141536390999, 3.09751716453, 0.196245791027, 0.0633558364985, -655.036344654, 128.647966513, 19.9570023441, 1
17.6732960688, 0.851368222609, 0.0481725773898, 0.0837314200969, 3.14159263869, 227.245239715, 2.89778580052, 0.0952185789174, 0.0328590811993, 14.7622030723, 0.921326282406, 0.0624111643698, -1697.19549067, 19.1392261877, 56.415626244, 1
15.1244203299, 0.555160300269, 0.0367062200177, 0.0514927512168, 3.14159263869, 195.062784939, 2.2598527835, 0.0538909634243, 0.0238471124393, 12.867095382, 0.557898278078, 0.0433585250994, -2405.3011593, 15.7692390259, 44.4022731603, 1
15.9773003106, 0.260899320223, 0.016329374497, 0.153440813469, 3.14159265359, 83.9257099419, 1.64605343285, 0.201759397552, 0.122571596721, 14.3182300055, 0.44709390508, 0.0312255009807, 388.791880633, -2.22545495985, 205.34741217, 1
10.0701717625, 0.238048584808, 0.0236389795945, 0.134981676614, 3.14159263869, 176.450467647, 4.56717973391, 0.402510735415, 0.0881311353758, 5.52719974318, 0.293680662204, 0.0531337161402, -2328.77847202, -10.6714430371, -70.5168778935, 1
12.494793441, 0.662256534092, 0.0530025996205, 0.0657774800843, 3.14159265359, 172.843096749, 11.876310024, 0.487168268475, 0.0410201710372, 0.618208993087, 0.0242300784348, 0.0391939921706, -1406.1769042, -89.7563864561, -116.537006745, 1
20.7573030959, 0.771247610257, 0.0371554824196, 0.0460828415037, 3.14159265359, 209.51135095, 16.7621271099, 0.71024414756, 0.0423719580996, 4.01355034651, 0.159737036064, 0.0397994349824, -1009.85247927, 15.7872980366, 22.3626855953, 1
39.4708621136, 1.76526525454, 0.0447232505197, 0.0161466214114, 3.14159265359, 188.688045765, 7.6773958738, 0.347458881958, 0.0452573877482, 31.8087964247, 1.4359832982, 0.0451442198261, -2435.09732754, -7.95714569944, -33.2207798459, 1
27.3219299241, 0.251092575282, 0.00919014784019, 0.0573417747658, 3.14159263869, 132.557351603, 7.25357147991, 0.289978087299, 0.0399772840321, 20.0230268833, 0.347621392906, 0.0173610810659, -1225.67742844, -64.2037305601, -89.1147168641, 1
8.11953086515, 0.389571719043, 0.0479795847215, 0.0883325586092, 3.14159265359, 131.32104357, 4.46106119239, 0.0931418544497, 0.0208788560463, 5.17334179512, 0.348777666871, 0.0674182531685, -2436.27259626, -27.684709254, 127.187746375, 1
16.3204129373, 1.23998755507, 0.0759777071719, 0.0501306622635, 3.14159263869, 453.050194086, 12.300171157, 0.794722976047, 0.0646107249977, 4.16050987678, 0.47515533381, 0.114206034328, 1617.31190895, 51.0889264321, 215.201453819, 1
