Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event type
11.929892167, 0.0714767365557, 0.00599139837603, 0.0449550751805, 3.14159265359, 98.0331995737, 5.77720724522, 0.10462037793, 0.0181091613109, 6.18361285057, 0.168935497467, 0.0273198697185, -970.269137196, -89.2114278735, 36.7918773104, 1
31.3148488352, 1.80184650479, 0.0575396839459, 0.0193658401258, 3.14159265359, 309.500465102, 4.31179947884, 0.280831166135, 0.0651308502432, 26.7064441288, 1.52834302678, 0.0572274998275, -1395.49662523, 42.426988027, -17.2269491332, 1
5.09171603615, 0.0584257558728, 0.0114746689442, 0.477957820886, 3.14159263869, 205.008357224, 4.75772450322, 0.119527240907, 0.0251227747268, 0.358054183734, 0.157766851598, 0.440622840801, 1674.54195275, 76.7048804421, -133.596464624, 1
20.3886558453, 0.291158542398, 0.0142804187097, 0.0757080704959, 3.14159263252, 103.323535233, 17.9900302855, 0.264854955883, 0.0147223185109, 2.41864327668, 0.172898739938, 0.071485837372, -1830.33361585, -3.06986683927, 27.5881254186, 1
8.89397664123, 0.233600006067, 0.026264967347, 0.221197829411, 3.14159265359, 239.805818563, 0.292925826831, 0.0678924221175, 0.23177342487, 8.61078539249, 0.167150572872, 0.0194117685267, 2042.58670607, -40.6964089268, 52.7496522949, 1
30.0830275071, 0.381449211872, 0.0126798810985, 0.0911199114919, 3.14159265359, 100.183128449, 29.3583797231, 0.417028356491, 0.0142047470066, 0.68446190362, 0.0525966010588, 0.0768437231943, 1509.88944654, 17.0058003946, 2.26765150774, 1
3.39425058182, 0.0926652200625, 0.0273006420206, 0.0834746789649, 3.14159265359, 120.319370544, 2.01452121699, 0.0466558875709, 0.0231597896202, 1.38380450846, 0.0993244084464, 0.0717763295603, -719.782621181, 58.391765561, 32.4115274423, 1
7.14644791421, 0.292063421792, 0.0408683342128, 0.119071470146, 3.14159265359, 315.837931552, 0.526772826653, 0.0766893571282, 0.14558335823, 6.622789251, 0.222813792421, 0.0336434973206, 657.519338918, -78.7040343266, -1.43680356023, 1
1.40162307171, 0.0387169486681, 0.0276229390408, 0.0394390685687, 3.14159265359, 233.291616115, 1.01675942334, 0.0248805235698, 0.0244704135499, 0.383179518073, 0.0204161886389, 0.0532810019219, 138.156311633, 5.18774844369, 30.4398642646, 1
6.47817981945, 0.0621343638881, 0.00959133053107, 0.120713861746, 3.14159265359, 36.6402112129, 1.56960244641, 0.163760123003, 0.104332229717, 3.39095770457, 0.0806003357298, 0.0237691952398, -1532.04161598, 66.7493152947, -21.4099226382, 1
13.698481035, 0.174842886568, 0.0127636696449, 0.0310273994461, 3.14159265359, 86.5344151917, 7.25383015428, 0.141515909156, 0.0195091291284, 6.44681151631, 0.13330548462, 0.0206777387989, -2318.71048724, 4.33805668683, 23.4751777818, 1
42.3186238247, 1.74790013682, 0.041303331225, 0.0183304233293, 3.14159265359, 238.986486116, 28.8943058879, 1.31181691987, 0.0454005341039, 11.9856059541, 0.354226438267, 0.029554320376, -2370.89270009, 35.4887490246, 32.6115589155, 1
13.5876071581, 1.15270518077, 0.0848350388229, 0.136851967131, 3.14159265359, 474.114797717, 0.95987373261, 0.0411281638825, 0.0428474730429, 12.6612840796, 1.18854336405, 0.0938722610267, -873.545013523, 4.09433571056, -78.897640072, 1
31.1130816057, 1.75149545038, 0.0562945025045, 0.00836484877384, 3.14159263869, 822.749694322, 20.5235650347, 1.10803749973, 0.0539885491559, 10.4308356462, 0.638354690905, 0.0611988063619, 2117.59675509, -169.633721962, -245.735137177, 1
8.42817607609, 0.501896799354, 0.0595498711492, 0.0556822506497, 3.14159263869, 274.57481927, 6.31302381958, 0.307761884912, 0.0487503126407, 2.11806837342, 0.204532532068, 0.0965655946872, -428.127821955, -74.7463971686, 113.103522194, 1
10.5055176658, 0.0480242248926, 0.00457133350494, 0.0336008236076, 3.14159265359, 52.8681896173, 6.09202060532, 0.121724557402, 0.0199809825489, 4.41619609115, 0.0658183930932, 0.0149038656198, -2331.98455719, 32.9849041203, 3.96742947995, 1
14.8149948137, 0.678932105661, 0.0458273603332, 0.0303147185185, 3.14159265359, 202.127079047, 1.06000398714, 0.0657895575509, 0.0620653868749, 13.7542212243, 0.61947855414, 0.0450391588179, -2426.41919462, 10.3350279525, 20.0176201306, 1
12.3221771402, 0.876543568645, 0.0711354461692, 0.173642825871, 3.14159263252, 464.126450766, 6.17342295413, 0.739355017457, 0.119764192888, 6.21454974582, 0.379463390676, 0.0610604800341, -1578.01115976, -32.6202592466, -112.013049937, 1
2.57510160563, 0.162561354125, 0.0631281320198, 0.14553879333, 3.14159265359, 399.586000688, 2.21349009479, 0.100877407935, 0.0455739143229, 0.364835487628, 0.0667753008308, 0.183028524075, 1547.32158799, -38.1784724027, 150.436461858, 1
25.8417533712, 1.17322159539, 0.0454002318861, 0.0480688925819, 3.14159263869, 169.691226215, 9.19020841108, 0.345863500509, 0.0376339126425, 16.6264936631, 0.946219764659, 0.0569103614888, -2419.48074893, -6.53066784731, -51.6334606282, 1
10.7941140572, 0.517118397762, 0.0479074424283, 0.0290576293037, 3.14159265359, 255.006385169, 3.88307196776, 0.202168512862, 0.0520640653948, 6.91005032868, 0.338301849156, 0.0489579428607, -2411.05412733, 64.8176464874, 25.1500983928, 1
3.5836279574, 0.325159703264, 0.0907347824968, 0.495144747193, 3.14159265359, 621.444418371, 3.16962571947, 0.191850810569, 0.0605279069359, 0.811227275319, 0.364729118807, 0.44960164667, 2277.12036194, -197.185516463, -193.804489465, 1
15.7086947871, 0.193654785463, 0.0123278724354, 0.0325934623936, 3.14159263869, 35.6635010306, 12.0893776513, 0.231540315545, 0.0191523767578, 3.6200776389, 0.0487977249527, 0.0134797454144, -1842.31252345, 48.7662322703, 44.4883313621, 1
11.9354747727, 0.51110817293, 0.0428226092942, 0.0688370566594, 3.14159263252, 225.880959849, 0.910066656374, 0.0399012794417, 0.0438443482818, 11.025478259, 0.517251351599, 0.0469141872531, -2295.27427759, 18.9874816923, 33.0012673472, 1
8.74402557469, 0.35119391762, 0.0401638712765, 0.0661940116041, 3.14159263869, 232.749464863, 0.911896055154, 0.0188666115088, 0.0206894320928, 7.83079223597, 0.360005413841, 0.045973051384, 715.84441845, 25.6636769967, 129.349652181, 1
7.6459631714, 0.0721774542925, 0.00943994270891, 0.129555379486, 3.14159265359, 40.2057144972, 4.2594099856, 0.238899623817, 0.0560874920763, 3.40560914823, 0.254413365997, 0.0747042173436, -2465.50306546, 59.2797174665, -42.0376662127, 1
15.2903044417, 0.485333621763, 0.0317412660824, 0.0642612893053, 3.14159265359, 133.848549021, 11.6647453034, 0.547627319955, 0.046947216224, 3.62991148781, 0.0634849360503, 0.0174893895522, -2309.780213, 6.19219407883, 25.4348607354, 1
6.13187215719, 0.152770934375, 0.0249142399676, 0.0907881938435, 3.14159265359, 219.919116702, 4.92103078726, 0.104182019289, 0.0211707716925, 1.21516986753, 0.108795688235, 0.0895312590793, 801.948423001, 26.0733503005, -11.1033521499, 1
10.3625995956, 0.454131325287, 0.0438240733997, 0.050973866642, 3.14159265359, 307.823830184, 5.14416001625, 0.295336775793, 0.0574120507255, 2.89966680115, 0.0276791654732, 0.00954563657528, -1863.26846646, 66.4765596128, 39.8349763636, 1
10.9585127599, 0.690249455906, 0.062987512177, 0.062307762503, 3.14159265359, 332.031860304, 9.27783271168, 0.650897612888, 0.0701562135377, 1.6829243705, 0.0751932767703, 0.0446801282865, -2375.59118651, -0.311724031427, 26.4105445775, 1
13.1639515296, 0.104517668897, 0.00793968806876, 0.134239666174, 3.14159263869, 141.176325266, 1.03138166043, 0.135410110796, 0.131290012215, 9.02991031854, 0.226299409019, 0.025061091532, 2120.41745486, 15.1347085882, -69.6860746072, 1
13.5649704434, 0.287987135571, 0.0212302073765, 0.0897001020904, 3.14159263869, 96.6343613249, 13.2264264893, 0.266889161974, 0.0201784784567, 0.339903509205, 0.0240337446601, 0.0707075508467, 1232.30125068, -1.01319653979, 83.6747708706, 1
14.5105583351, 0.566060021364, 0.0390102164433, 0.0444479171209, 3.14159263869, 197.443922575, 12.9860358608, 0.504592546987, 0.038856549635, 1.5243473529, 0.0865124507723, 0.0567537645587, -2171.61329918, -9.89093773394, -5.77595836447, 1
14.7202619522, 0.571039152027, 0.0387927303115, 0.0586581729778, 3.14159265359, 200.629549191, 8.48055094329, 0.38612370905, 0.0455304981518, 6.25445382591, 0.325415026904, 0.0520293275739, -2463.27646921, 45.199848411, -6.71638872691, 1
14.3437603811, 0.732303803348, 0.0510538229789, 0.0454913448739, 3.14159265359, 304.286636544, 9.24334044814, 0.467959221065, 0.0506266347854, 5.10945543568, 0.321547537399, 0.062931860635, -2134.70680898, 72.618116405, -8.27400874444, 1
16.0174001847, 0.832318362392, 0.0519633868665, 0.0136133899775, 3.14159263869, 315.000480554, 2.39516323116, 0.101614048305, 0.0424246861272, 13.6409951163, 0.730356085607, 0.0535412614241, -1424.06343812, -19.0231366946, -3.54568969614, 1
