Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event type
53.2415676245, 1.44496924885, 0.0271398704682, 0.0161634392794, 3.14159265359, 117.502625786, 41.2367357301, 1.03982741609, 0.0252160457824, 12.1334353652, 0.433588585201, 0.0357350224525, -2420.05254493, 8.21365383067, -10.0821937658, 1
19.0973068565, 0.608527193512, 0.0318645554624, 0.017566293443, 3.14159265359, 142.307862639, 12.1334349345, 0.433588569809, 0.0357350224525, 6.96176732468, 0.190231835883, 0.0273252217448, -2283.11438299, 9.90731815379, -11.8629506798, 1
1.18127913319, 0.192017490118, 0.162550480003, 0.199058629621, 3.14159265359, 1599.71573751, 0.662224992008, 0.0739748651079, 0.111706543849, 0.524484246657, 0.117011332156, 0.22309789646, 1519.35289339, 161.238354672, 80.5170330607, 1
64.3295348224, 1.35319954039, 0.0210354317674, 0.0134481211163, 3.14159265359, 101.263593603, 45.638731996, 0.812249577053, 0.0177973738868, 18.7066723678, 0.553941695104, 0.0296119846552, -1931.08750508, 8.77142663826, 13.2904319584, 1
17.6892488905, 0.523267034631, 0.0295810770638, 0.00757511835318, 3.14159265359, 126.377263986, 7.45557915018, 0.203302074226, 0.0272684482494, 10.2343265532, 0.322851383938, 0.0315459334096, -2326.89884163, 22.0529002778, -10.1887000554, 1
31.640876507, 0.951372555468, 0.0300678318838, 0.0266336856451, 3.14159265359, 139.855874239, 10.7328814029, 0.473160289843, 0.0440851130355, 20.9159373543, 0.516652506492, 0.0247013795146, -2426.38429683, -9.98628461353, -6.98262728672, 1
4.19091156357, 0.212953740925, 0.0508132270737, 0.0304338304851, 3.14159265359, 265.061895441, 1.44302339856, 0.0918931827976, 0.0636810067595, 2.74772109824, 0.127111375188, 0.0462606540634, 598.60479136, 4.74891914396, -174.476092245, 1
5.13647184426, 0.174042388051, 0.033883644908, 0.0744413257957, 3.14159265359, 94.2747629968, 2.74772098568, 0.127111369981, 0.0462606540634, 2.39270377629, 0.130293363553, 0.0544544480783, 641.215041508, 3.76299008564, -175.186508632, 1
46.3456480574, 0.501638111916, 0.0108238450198, 0.0783370890373, 3.14159265359, 86.3807063179, 6.38910781486, 0.444916150967, 0.0696366634998, 22.135945737, 0.211743811585, 0.00956560944361, -2473.51418224, -43.0201836055, -30.0637234562, 1
1.64562684332, 0.196364510979, 0.119325053414, 0.155402348648, 3.14159265359, 1155.20993087, 0.942014081614, 0.0523480892246, 0.0555703892822, 0.74670407797, 0.151615387343, 0.203046148824, 1960.16230669, -71.2418397946, -98.3301393893, 1
10.4494681088, 0.304265933461, 0.0291178393286, 0.0736506836475, 3.14159263252, 161.633716584, 6.53810436169, 0.03455294766, 0.00528485716172, 3.91687977946, 0.2931947962, 0.0748541728896, -1343.56053985, 16.6262045007, -14.8693365757, 1
11.014934698, 0.198508603995, 0.0180217685749, 0.159581371235, 3.14159265359, 102.695897583, 0.623250829564, 0.0827321875394, 0.132743004285, 10.4003165754, 0.27854471697, 0.02678233061, -0.122842488742, 79.0254579379, 24.5186758658, 1
18.660320653, 0.149263940941, 0.00799900193122, 0.146384215977, 3.14159265359, 52.8912174085, 1.43479293038, 0.195388692341, 0.136179018034, 17.2786992826, 0.264676093389, 0.0153180565887, 202.267508355, -13.4003645558, -21.5020300396, 1
2.88209092351, 0.13188702715, 0.0457608835565, 0.00577792405353, 3.14159265359, 429.490045844, 1.43114047178, 0.0695613991454, 0.0486055705342, 1.45079364796, 0.0624700832238, 0.0430592478204, -636.109046789, 118.524457936, -48.3517133297, 1
31.6820521348, 0.947434174192, 0.0299044446415, 0.0072987338925, 3.14159263869, 123.040156179, 16.0579577646, 0.523203813788, 0.0325822138443, 15.5635431428, 0.42594486807, 0.0273681168974, -2435.18674677, -16.0605062753, -14.871249742, 1
4.25753523568, 0.153079132714, 0.035954871596, 0.0602210698928, 3.14159265359, 144.988116988, 3.7433691243, 0.188778262916, 0.0504300422021, 0.511626525121, 0.0539212977983, 0.105391912168, 1709.65856309, 5.63987325068, -308.416673436, 1
19.5222768874, 0.420752059042, 0.0215524071024, 0.0468815859109, 3.14159265359, 135.94742143, 15.6927712554, 0.552017561579, 0.0351765505654, 3.83347321675, 0.0662253443352, 0.0172755463755, -2302.29767092, 8.23734504919, -28.6214153179, 1
20.2034009967, 1.27065226696, 0.0628929885204, 0.230499850995, 3.14159265359, 391.949723414, 1.51844107395, 0.263553219625, 0.173568289311, 18.4843588393, 1.43766889061, 0.0777775904001, 2308.24170695, 76.7177118881, 196.046130798, 1
17.2528257424, 0.42881251309, 0.0248546249462, 0.123350653578, 3.14159263252, 160.089863415, 15.7166884143, 0.404813237827, 0.0257569041999, 1.55256857583, 0.182987194022, 0.117860941456, -153.185398633, 82.7237775725, -20.7937279287, 1
30.2081516372, 0.954989852294, 0.0316136473282, 0.0564517827304, 3.14159265359, 169.056189503, 26.2134458049, 0.837578924962, 0.0319522633994, 3.69283078447, 0.20736730644, 0.0561540234424, 1799.38412327, -77.8313046236, 90.029589854, 1
8.27081653694, 0.113571448578, 0.0137315884195, 0.0148894715038, 3.14159263869, 75.6515332782, 6.15089971605, 0.0994018248721, 0.0161605341431, 2.12038580535, 0.0254916094528, 0.0120221562456, 881.34416763, 37.6062377876, -0.893765565775, 1
106.068810008, 2.01675151913, 0.0190136150201, 0.0348192244918, 3.14159265359, 102.964954291, 20.808222143, 0.556150417753, 0.0267274356228, 19.7460707851, 0.593963045088, 0.0300800625883, -2443.52954679, -4.44945201029, 13.0444174988, 1
15.3513193977, 0.39854377127, 0.0259615320967, 0.204446144966, 3.14159263252, 283.619692108, 10.9443974903, 0.619777747658, 0.0566296818263, 4.56087127135, 0.704950611467, 0.15456489989, -313.674112053, 121.482261494, 230.159185188, 1
