Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event type
13.7751532486, 0.450901721435, 0.0327329731508, 0.0769232997343, 3.14159265359, 204.162775283, 3.40524073236, 0.0617878629995, 0.0181449324309, 10.3716484262, 0.652244107351, 0.0628872172049, -1059.95811179, -51.6641171419, 33.9454694035, 1
18.3959833251, 0.240141155241, 0.0130539993974, 0.0510222130591, 3.14159263869, 84.8466973615, 3.29073176974, 0.162147154977, 0.0492738899197, 15.4895603461, 0.156455555065, 0.0101007098697, -481.525698102, -17.7550050223, -25.3532732877, 1
8.28190897594, 0.343980917962, 0.041534013349, 0.115220792438, 3.14159265359, 381.108680175, 4.29472011092, 0.320948378843, 0.0747309185589, 2.33401300995, 0.18102702887, 0.0775604198001, -306.028549792, 143.833860606, 3.75342391509, 1
18.8169088597, 0.179049568329, 0.00951535502798, 0.509977565538, 3.14159265359, 65.7458282008, 18.425576452, 0.246612577039, 0.0133842530073, 0.598611781802, 0.286790660439, 0.479092909891, 2379.18611214, 49.3285315204, 50.7520900934, 1
5.22104816548, 0.160200040199, 0.0306835016881, 0.0295492167961, 3.14159265359, 108.908529022, 1.45858589776, 0.0737283066868, 0.0505477989334, 3.7633651162, 0.0896610089046, 0.0238246904396, -1.95492258359, 112.503700389, -44.2029329051, 1
12.0758011343, 0.493759058949, 0.0408883065774, 0.0966620174349, 3.14159263252, 183.359451152, 9.79070801137, 0.458281835097, 0.0468078339754, 2.29350697431, 0.138670867624, 0.0604623701507, 797.02659688, 164.652335413, -63.0607747319, 1
3.9633113115, 0.0264330761834, 0.00666944231878, 0.035304497136, 3.14159265359, 51.6767000138, 2.12412254883, 0.0346768523007, 0.0163252597266, 1.83967911527, 0.0393032838862, 0.0213642061596, -2290.74882419, 39.7897134082, -11.9029785907, 1
55.3622102431, 2.07732506948, 0.0375224374237, 0.0163421925918, 3.14159265359, 99.6230578938, 43.5697723298, 1.75161063167, 0.0402024279221, 11.7944585522, 0.343556947529, 0.0291286747933, -2426.17715429, -66.6172539666, -52.2383406095, 1
10.5457066575, 0.62424441239, 0.0591941756642, 0.0353886886824, 3.14159263252, 293.046823175, 3.71936960315, 0.269533253275, 0.0724674560567, 6.82877056869, 0.373388055705, 0.0546786646218, -2086.52029733, -4.47608350108, -10.6458200822, 1
17.4305969345, 0.403037096492, 0.0231223920791, 0.0176946413486, 3.14159263252, 219.376798402, 14.3928867159, 0.374888742717, 0.0260468070177, 3.03418488133, 0.029484997825, 0.00971760093012, -2218.27701892, -63.7125857835, 81.6811968804, 1
22.6951755822, 1.68436920152, 0.0742170597191, 0.0370620559522, 3.14159265359, 370.251094128, 13.4829839004, 1.19016980036, 0.0882719885417, 9.21290436404, 0.502503762773, 0.0545434689124, -2268.4176, 14.756753163, 4.24235833006, 1
20.3392629789, 0.563988315732, 0.0277290438851, 0.0557496606623, 3.14159265359, 123.526747155, 7.21187795689, 0.061935358844, 0.00858796546672, 13.1184349312, 0.62106142256, 0.0473426461174, -2200.14781255, -19.3931335856, 52.2342559586, 1
3.26595073162, 0.123194961378, 0.0377210103587, 0.0759569023009, 3.14159265359, 137.309853152, 2.24799114432, 0.137388600246, 0.0611161661349, 1.01991464018, 0.0173852024696, 0.0170457426384, 206.733678768, 51.2855513478, -143.226894282, 1
14.8948035461, 0.692510321301, 0.0464934175976, 0.0565344323186, 3.14159265359, 207.317414126, 5.33005457638, 0.363005417518, 0.0681053847228, 9.57817794826, 0.419710210132, 0.0438194208126, -1986.75494927, 57.0785902175, -68.5378393256, 1
54.8486414256, 0.735868590838, 0.0134163503728, 0.00344334908874, 3.14159265359, 16.2938666651, 24.9990215587, 0.321315207911, 0.012853111357, 29.8509647231, 0.419814479105, 0.0140636821288, -2063.95704634, -63.2961224379, 57.2046532523, 1
13.5378945081, 0.212680562394, 0.0157100177037, 0.0638134887674, 3.14159263869, 54.1831806522, 9.80473655406, 0.292921902971, 0.0298755505929, 3.73800408378, 0.14496523638, 0.0387814547899, -2398.20120729, -49.3544076273, 91.0190205358, 1
13.415231896, 0.38827080386, 0.0289425338951, 0.0723501206301, 3.14159265359, 208.079585459, 4.78178819758, 0.355786310579, 0.0744044478505, 4.67331635687, 0.486785512825, 0.104162756307, 269.42477728, -5.03290426819, -7.75264521159, 1
3.82909089414, 0.28053404235, 0.0732638764934, 0.0145934568086, 3.14159265359, 415.736566149, 1.62536417498, 0.124527145306, 0.076614919427, 2.20350170876, 0.156835234651, 0.0711754540638, -1521.64041755, -34.1222279552, 31.0532942922, 1
10.9114071592, 0.601584284273, 0.0551335199483, 0.0718957803191, 3.14159263252, 479.178373053, 3.4494572056, 0.342032019931, 0.0991553161976, 6.90989101303, 0.190011949881, 0.0274985451322, 1249.89406032, -63.1778406118, -46.0611759979, 1
27.072320417, 1.20584966761, 0.0445417920973, 0.0746005627412, 3.14159265359, 212.437111303, 2.67622741002, 0.157016285506, 0.0586707560495, 24.3986663051, 1.18788452149, 0.0486864530478, -2470.90210872, 11.0383121665, 11.8436166916, 1
15.6429027785, 1.11522104921, 0.0712924618278, 0.0424025583348, 3.14159263869, 355.572508866, 10.4237473664, 0.597144412711, 0.0572869229962, 5.22086879542, 0.518445593179, 0.0993025516431, 1986.75550186, 140.713649343, -270.097408442, 1
5.02567524456, 0.110486367485, 0.021984382617, 0.0565707967824, 3.14159265359, 102.485299733, 2.48068088169, 0.0263715664152, 0.0106307774651, 2.54862963613, 0.125436761616, 0.0492173361864, -371.997854001, 78.5830108015, 22.2743864503, 1
5.13754395723, 0.101468027464, 0.0197502986464, 0.0593000438368, 3.14159265359, 57.3178090183, 0.934169606493, 0.0283777171021, 0.0303774784631, 3.76596717329, 0.1200411974, 0.0318752638767, -2461.3048953, -16.1083182807, 35.2965920109, 1
6.30961492211, 0.0578328432719, 0.00916582770672, 0.031317486526, 3.14159265359, 48.9399223391, 5.61094637609, 0.0461891563279, 0.00823197251086, 0.648263195947, 0.0202300376377, 0.0312065188401, -2350.94210048, -16.0919166871, -2.67337540336, 1
10.7432738083, 0.785852284366, 0.0731483064092, 0.101909021622, 3.14159265359, 354.087535609, 1.97997362105, 0.0991536050919, 0.0500782455069, 8.77315143651, 0.776980106063, 0.0885633984191, -2439.97008697, -34.6699494864, -12.1940338869, 1
20.2051313635, 0.406222498095, 0.0201049174483, 0.0541496940947, 3.14159265359, 147.00541327, 4.09208538996, 0.125505198395, 0.0306702295858, 16.1194169018, 0.47251766342, 0.0293135704783, -2460.69477747, -51.0353989803, -86.3729079912, 1
19.4964310863, 0.214999959588, 0.0110276572484, 0.0652016959489, 3.14159265359, 33.5758285468, 13.9345912557, 0.209592554862, 0.0150411699214, 5.53335012553, 0.29638637483, 0.0535636401287, -2476.21849478, -11.7815144743, -47.0490950322, 1
21.0626518343, 0.152379065932, 0.00723456225413, 0.0403635119785, 3.14159265359, 79.391984797, 13.002516714, 0.254222197489, 0.0195517685599, 8.06363133206, 0.18486214733, 0.0229254215275, -2470.04071977, -20.8883008812, 56.9299831231, 1
4.98754691507, 0.264486028583, 0.0530292813454, 0.173568891658, 3.14159262778, 286.295683346, 0.306472631972, 0.0608992339491, 0.198710186802, 4.68193948192, 0.21858702754, 0.0466872817097, 1753.4255368, -57.7095901336, 199.404850964, 1
