Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event type
14.4760604221, 0.760450201218, 0.0525315713697, 0.198761052411, 3.14159265359, 276.225025328, 1.81353300163, 0.233352862679, 0.128673072103, 12.6976112231, 0.924080725357, 0.0727759504622, -237.3037242, -72.0907809894, 62.1871154713, 1
35.731980881, 0.672081460396, 0.0188089617151, 0.0243395868876, 3.14159265359, 77.8493416537, 30.0962677864, 0.669536189316, 0.0222464856463, 5.63061857162, 0.0558712281673, 0.00992275137386, -2442.29283363, 46.4643520448, -15.1915863353, 1
12.1489691531, 0.281014946944, 0.0231307647095, 0.0839962738925, 3.14159265359, 128.700511474, 10.4872127548, 0.133255180364, 0.0127064438836, 1.68051172689, 0.159689109066, 0.0950240968338, -1537.10426672, 2.2584659778, -1.94194364125, 1
11.5070724877, 0.416667993084, 0.036209730453, 0.107866958026, 3.14159263252, 161.454038589, 0.727461840426, 0.0440633724727, 0.0605713867368, 8.00715913728, 0.392451014484, 0.0490125158942, -2116.86172115, 50.806495005, -32.5766688574, 1
22.3975437792, 0.546966185371, 0.0244208110837, 0.114187009502, 3.14159265359, 97.172337902, 15.4157567604, 0.920913577048, 0.0597384605478, 6.93065197616, 0.376953774662, 0.0543893671127, -1666.39923715, 28.3413401369, 32.5434395406, 1
8.55975511062, 0.600591594024, 0.0701645767037, 0.065772006992, 3.14159263869, 565.240966617, 3.1242087438, 0.257449614872, 0.0824047418032, 5.43927663466, 0.401382860678, 0.0737934265231, -237.021879593, 138.446882716, 5.82790733717, 1
27.6076694411, 1.24508989415, 0.0450994205362, 0.0728079558247, 3.14159265359, 236.404966562, 23.7376793105, 1.18004897629, 0.0497120616072, 3.90628644437, 0.246344858412, 0.0630636953845, -2421.64548688, 6.19079838605, -19.7372437308, 1
6.83041194735, 0.288565612498, 0.0422471755323, 0.0569261797252, 3.14159265359, 172.44350361, 1.03196549644, 0.0453506349422, 0.0439458829766, 5.78802933019, 0.285433534339, 0.0493144588695, 2123.53906723, -127.893105279, -211.4550005, 1
27.5554670398, 0.757263910371, 0.0274814398637, 0.123880133217, 3.14159265359, 125.546770169, 23.352829897, 0.790820719866, 0.0338640209069, 4.2595874809, 0.456948587408, 0.107275314677, -1538.09024475, -38.7296710556, -4.85270497021, 1
23.0628800735, 0.286047773003, 0.0124029510665, 0.0454270057981, 3.14159263252, 92.4636327058, 5.39458118101, 0.124948437133, 0.0231618420302, 17.6721216425, 0.403222188521, 0.0228168522534, -2444.289513, 13.4840919326, 34.9913780166, 1
14.1768065114, 0.810335088175, 0.0571592119512, 0.0716697215132, 3.14159265359, 153.122849524, 9.72558078763, 0.595878631214, 0.0612692078988, 4.45962296599, 0.233230029916, 0.0522981497976, -877.872250765, 46.0540988346, -207.561588687, 1
16.8459997371, 0.604330730077, 0.0358738418323, 0.051961762704, 3.14159263252, 225.895501438, 15.5153385913, 0.59318350793, 0.0382320697958, 1.33207298646, 0.0392486365549, 0.0294643288723, -1741.28680287, -1.61187645427, 33.6512097408, 1
9.30409595669, 0.430081435601, 0.0462249570085, 0.0386693008512, 3.14159265359, 366.789410847, 1.31453318495, 0.0848218727009, 0.0645262315717, 8.00783778513, 0.350852594441, 0.0438136490592, 175.796561404, -27.1482314836, 31.2061597872, 1
16.1622978159, 0.907902226255, 0.0561740809753, 0.146040463009, 3.14159265359, 193.329421472, 0.734602275066, 0.0620446224673, 0.0844601556151, 15.4354750468, 0.967072504834, 0.0626525909893, -1665.79607113, 53.8213231936, 110.710700161, 1
14.9546269159, 0.560753255402, 0.0374969739168, 0.0918736771624, 3.14159265359, 137.56408684, 12.9664424967, 0.622357550358, 0.0479975560388, 1.99347702692, 0.10623245724, 0.0532900333463, -2199.88788969, 40.9786417641, 30.577681146, 1
11.1881207411, 0.0298756239086, 0.00267029866766, 0.0793833252212, 3.14159265359, 23.9511997008, 5.2781771607, 0.213900568892, 0.0405254621774, 5.93415899937, 0.231191719038, 0.0389594749758, -2328.61920673, -20.7864627357, -18.4763825312, 1
